rsi_period,overbought,oversold,wait_period,stop_loss_pct,take_profit_pct,Sharpe Ratio,Annualized Return (%),Max Drawdown (%),Win Rate (%),Profit Factor,Total Trades,debt
12,90,30,0,0.02,0.05,0.04445498789006074,-0.2574811194467119,-4.329048280330889,53.65853658536586,0.9968014009812307,82,0.0
12,90,30,0,0.01,0.03,0.04445498789006074,-0.2574811194467119,-4.329048280330889,53.65853658536586,0.9968014009812307,82,0.0
12,90,30,0,0.01,0.05,0.04445498789006074,-0.2574811194467119,-4.329048280330889,53.65853658536586,0.9968014009812307,82,0.0
12,90,30,0,0.01,0.07,0.04445498789006074,-0.2574811194467119,-4.329048280330889,53.65853658536586,0.9968014009812307,82,0.0
12,90,30,0,0.02,0.03,0.04445498789006074,-0.2574811194467119,-4.329048280330889,53.65853658536586,0.9968014009812307,82,0.0
12,90,30,0,0.02,0.07,0.04445498789006074,-0.2574811194467119,-4.329048280330889,53.65853658536586,0.9968014009812307,82,0.0
12,90,30,0,0.03,0.03,0.04445498789006074,-0.2574811194467119,-4.329048280330889,53.65853658536586,0.9968014009812307,82,0.0
12,90,30,0,0.03,0.05,0.04445498789006074,-0.2574811194467119,-4.329048280330889,53.65853658536586,0.9968014009812307,82,0.0
12,90,30,0,0.03,0.07,0.04445498789006074,-0.2574811194467119,-4.329048280330889,53.65853658536586,0.9968014009812307,82,0.0
12,90,25,5,0.01,0.03,-0.17957163251567385,-2.126290832920219,-4.603659623130075,54.83870967741935,0.9720808534776366,62,0.0
12,90,25,5,0.03,0.05,-0.17957163251567385,-2.126290832920219,-4.603659623130075,54.83870967741935,0.9720808534776366,62,0.0
12,90,25,5,0.03,0.03,-0.17957163251567385,-2.126290832920219,-4.603659623130075,54.83870967741935,0.9720808534776366,62,0.0
12,90,25,5,0.02,0.07,-0.17957163251567385,-2.126290832920219,-4.603659623130075,54.83870967741935,0.9720808534776366,62,0.0
12,90,25,5,0.02,0.05,-0.17957163251567385,-2.126290832920219,-4.603659623130075,54.83870967741935,0.9720808534776366,62,0.0
12,90,25,5,0.02,0.03,-0.17957163251567385,-2.126290832920219,-4.603659623130075,54.83870967741935,0.9720808534776366,62,0.0
12,90,25,5,0.01,0.07,-0.17957163251567385,-2.126290832920219,-4.603659623130075,54.83870967741935,0.9720808534776366,62,0.0
12,90,25,5,0.01,0.05,-0.17957163251567385,-2.126290832920219,-4.603659623130075,54.83870967741935,0.9720808534776366,62,0.0
12,90,25,5,0.03,0.07,-0.17957163251567385,-2.126290832920219,-4.603659623130075,54.83870967741935,0.9720808534776366,62,0.0
12,90,25,0,0.03,0.07,-0.3882142391150696,-4.002367656231687,-4.813609181520156,51.89873417721519,0.9517820206161343,79,0.0
12,90,25,0,0.03,0.03,-0.3882142391150696,-4.002367656231687,-4.813609181520156,51.89873417721519,0.9517820206161343,79,0.0
12,90,25,0,0.02,0.07,-0.3882142391150696,-4.002367656231687,-4.813609181520156,51.89873417721519,0.9517820206161343,79,0.0
12,90,25,0,0.02,0.05,-0.3882142391150696,-4.002367656231687,-4.813609181520156,51.89873417721519,0.9517820206161343,79,0.0
12,90,25,0,0.02,0.03,-0.3882142391150696,-4.002367656231687,-4.813609181520156,51.89873417721519,0.9517820206161343,79,0.0
12,90,25,0,0.01,0.07,-0.3882142391150696,-4.002367656231687,-4.813609181520156,51.89873417721519,0.9517820206161343,79,0.0
12,90,25,0,0.01,0.05,-0.3882142391150696,-4.002367656231687,-4.813609181520156,51.89873417721519,0.9517820206161343,79,0.0
12,90,25,0,0.01,0.03,-0.3882142391150696,-4.002367656231687,-4.813609181520156,51.89873417721519,0.9517820206161343,79,0.0
12,90,25,0,0.03,0.05,-0.3882142391150696,-4.002367656231687,-4.813609181520156,51.89873417721519,0.9517820206161343,79,0.0
14,90,30,5,0.02,0.03,-0.5026627164235482,-5.42547580756948,-5.07637619992832,54.054054054054056,0.913463362397696,37,0.0
14,90,30,5,0.03,0.03,-0.5026627164235482,-5.42547580756948,-5.07637619992832,54.054054054054056,0.913463362397696,37,0.0
14,90,30,5,0.02,0.05,-0.5026627164235482,-5.42547580756948,-5.07637619992832,54.054054054054056,0.913463362397696,37,0.0
14,90,30,5,0.01,0.03,-0.5026627164235482,-5.42547580756948,-5.07637619992832,54.054054054054056,0.913463362397696,37,0.0
14,90,30,5,0.01,0.07,-0.5026627164235482,-5.42547580756948,-5.07637619992832,54.054054054054056,0.913463362397696,37,0.0
14,90,30,5,0.01,0.05,-0.5026627164235482,-5.42547580756948,-5.07637619992832,54.054054054054056,0.913463362397696,37,0.0
14,90,30,5,0.03,0.07,-0.5026627164235482,-5.42547580756948,-5.07637619992832,54.054054054054056,0.913463362397696,37,0.0
14,90,30,5,0.03,0.05,-0.5026627164235482,-5.42547580756948,-5.07637619992832,54.054054054054056,0.913463362397696,37,0.0
14,90,30,5,0.02,0.07,-0.5026627164235482,-5.42547580756948,-5.07637619992832,54.054054054054056,0.913463362397696,37,0.0
